city,height_model,dimension,bucket,n_views,n_sites,n_projected,px_p50,px_p90,abs_dx_px_p50,abs_dx_px_p90,abs_dy_px_p50,abs_dy_px_p90,dist_m_p50,dist_m_p90,along_m_median,abs_along_m_p50,abs_along_m_p90,abs_cross_m_p50,abs_cross_m_p90
sao_paulo,per-pano,source,launch,11814,2389,11814,8.715,26.601,6.915,25.075,3.266,9.532,1.44,3.331,-0.534,1.109,3.123,0.494,1.439
sao_paulo,per-pano,delta_months,0,6357,2389,6357,8.986,26.907,7.101,25.385,3.48,9.863,1.518,3.375,-0.737,1.182,3.184,0.503,1.443
sao_paulo,per-pano,delta_months,1-18,4249,1682,4249,8.099,25.197,6.534,23.182,2.921,8.492,1.323,3.291,-0.234,1.011,3.075,0.479,1.411
sao_paulo,per-pano,delta_months,19-36,604,379,604,9.234,30.31,6.849,28.224,3.409,11.568,1.381,3.174,-0.446,1.093,2.847,0.484,1.504
sao_paulo,per-pano,delta_months,>36,604,362,604,9.579,26.862,7.482,25.363,3.474,10.396,1.47,3.336,-0.569,1.041,3.025,0.549,1.508
sao_paulo,per-pano,n_views,3,2085,695,2085,10.748,34.663,9.029,32.666,3.682,10.851,1.626,3.465,-0.492,1.169,3.181,0.624,1.855
sao_paulo,per-pano,n_views,4-5,4329,980,4329,9.451,27.974,7.628,26.729,3.342,9.769,1.49,3.332,-0.576,1.119,3.071,0.543,1.555
sao_paulo,per-pano,n_views,6+,5400,714,5400,7.608,22.086,5.821,20.382,3.1,8.749,1.333,3.297,-0.502,1.081,3.162,0.429,1.182
richmond,2.6m,range_m,0-8,1430,624,1430,21.317,70.751,16.921,66.324,6.811,23.977,1.214,3.578,-0.103,0.75,2.543,0.638,2.376
richmond,2.6m,range_m,8-12,2668,857,2668,12.444,38.167,9.839,35.526,4.663,12.575,1.701,4.335,-0.249,1.24,3.632,0.634,2.197
richmond,2.6m,range_m,12-18,1627,760,1627,9.87,27.788,7.401,26.551,3.742,10.137,2.509,5.68,0.578,2.087,5.249,0.664,2.304
richmond,2.6m,range_m,18-25,1510,694,1510,7.385,18.803,5.894,18.227,2.595,7.639,3.108,6.576,1.878,2.748,6.324,0.71,2.142
richmond,2.6m,source,mapillary,7235,945,7235,11.566,38.041,8.987,35.274,4.146,13.047,1.95,5.287,0.155,1.457,4.807,0.655,2.228
richmond,2.6m,delta_months,0,4834,945,4834,11.41,38.707,8.941,35.506,4.289,12.835,1.878,5.193,0.046,1.416,4.76,0.641,2.225
richmond,2.6m,delta_months,1-18,2361,610,2361,11.727,36.631,9.032,34.198,3.895,13.215,2.134,5.461,0.38,1.555,4.977,0.686,2.231
richmond,2.6m,delta_months,19-36,40,16,40,11.826,40.983,10.164,40.425,3.212,12.714,1.54,4.363,0.122,0.982,4.109,0.706,1.984
richmond,2.6m,n_views,3,468,156,468,17.018,60.464,15.43,59.429,4.516,15.636,2.805,5.854,0.412,1.812,4.997,1.172,3.655
richmond,2.6m,n_views,4-5,924,208,924,15.349,49.913,12.615,47.172,4.71,14.881,2.331,5.896,0.271,1.616,5.168,0.883,2.827
richmond,2.6m,n_views,6+,5843,581,5843,10.873,33.947,8.323,31.413,4.023,12.415,1.841,5.082,0.13,1.391,4.735,0.603,1.96
clovis,2.6m,range_m,0-8,1141,595,1141,16.142,49.514,12.661,45.701,6.614,20.033,0.962,2.647,0.299,0.703,2.057,0.441,1.554
clovis,2.6m,range_m,8-12,2995,1036,2995,10.868,31.515,7.966,28.791,4.676,12.535,1.614,3.877,0.163,1.305,3.472,0.497,1.76
clovis,2.6m,range_m,12-18,1748,882,1748,8.482,21.141,6.008,19.663,3.732,9.4,2.285,4.789,1.01,2.037,4.542,0.536,1.731
clovis,2.6m,range_m,18-25,957,575,957,7.778,19.826,5.298,19.344,3.527,8.621,3.723,6.654,3.24,3.444,6.54,0.586,2.091
clovis,2.6m,source,mapillary,6841,1135,6841,10.157,30.499,7.408,27.729,4.417,12.215,1.805,4.852,0.539,1.481,4.419,0.507,1.784
clovis,2.6m,delta_months,0,5095,1135,5095,10.356,32.397,7.648,29.704,4.448,12.368,1.806,4.93,0.523,1.457,4.453,0.517,1.854
clovis,2.6m,delta_months,1-18,1450,381,1450,9.762,27.25,6.681,23.693,4.453,12.249,1.794,4.707,0.585,1.592,4.338,0.472,1.601
clovis,2.6m,delta_months,19-36,296,75,296,8.777,24.909,6.601,23.197,3.789,9.927,1.771,4.567,0.67,1.398,4.402,0.512,1.58
clovis,2.6m,n_views,3,834,278,834,12.869,44.348,9.84,42.705,4.174,14.796,2.088,5.42,0.698,1.564,4.674,0.672,2.711
clovis,2.6m,n_views,4-5,1433,322,1433,11.917,36.224,9.624,35.004,4.497,12.496,1.909,5.112,0.44,1.445,4.537,0.645,2.241
clovis,2.6m,n_views,6+,4574,535,4574,9.518,26.062,6.607,23.388,4.433,11.812,1.725,4.612,0.539,1.48,4.349,0.455,1.419
laurens,2.6m,range_m,0-8,123,73,123,33.954,89.385,29.546,77.859,10.86,29.791,2.282,4.462,-0.379,1.286,3.456,1.152,3.024
laurens,2.6m,range_m,8-12,310,104,310,18.101,59.123,15.077,56.416,7.584,14.922,2.855,5.938,-1.159,2.172,4.847,1.186,3.331
laurens,2.6m,range_m,12-18,94,59,94,12.86,45.221,12.789,42.712,4.053,8.937,3.08,6.076,-1.216,2.367,5.567,1.201,3.316
laurens,2.6m,range_m,18-25,58,47,58,7.66,28.88,7.196,28.829,1.967,5.525,3.081,6.031,1.393,2.136,5.412,0.926,3.267
laurens,2.6m,source,mapillary,585,109,585,18.119,60.006,15.298,56.416,6.221,17.558,2.767,5.726,-0.813,2.043,4.841,1.157,3.274
laurens,2.6m,delta_months,0,585,109,585,18.119,60.006,15.298,56.416,6.221,17.558,2.767,5.726,-0.813,2.043,4.841,1.157,3.274
laurens,2.6m,n_views,3,78,26,78,20.578,58.576,16.637,57.879,6.52,14.671,2.749,5.942,-0.515,2.063,4.538,1.233,3.562
laurens,2.6m,n_views,4-5,196,43,196,22.144,73.281,18.304,71.267,5.692,18.325,2.943,5.957,-0.458,1.917,4.787,1.24,3.963
laurens,2.6m,n_views,6+,311,40,311,16.025,50.996,13.79,48.434,6.052,17.558,2.679,5.647,-1.124,2.121,5.062,1.128,2.817
laurens_gsv,2.6m,range_m,0-8,57,48,57,9.681,29.418,8.953,27.415,4.203,8.691,0.649,1.169,-0.119,0.498,0.787,0.295,1.008
laurens_gsv,2.6m,range_m,8-12,127,77,127,7.21,20.25,5.492,17.516,2.721,7.63,0.941,2.216,0.04,0.718,2.052,0.362,1.007
laurens_gsv,2.6m,range_m,12-18,67,51,67,4.666,8.827,3.349,8.489,2.614,5.394,1.593,3.504,-0.657,1.534,3.426,0.33,0.857
laurens_gsv,2.6m,range_m,18-25,71,60,71,3.915,7.378,2.504,7.361,2.205,4.549,2.288,4.157,1.926,2.233,4.043,0.273,0.902
laurens_gsv,2.6m,source,launch,322,85,322,5.545,18.022,3.803,16.267,2.853,6.616,1.101,3.358,0.119,0.884,3.225,0.33,0.924
laurens_gsv,2.6m,delta_months,0,319,85,319,5.501,18.022,3.803,16.267,2.853,6.616,1.099,3.358,0.126,0.881,3.225,0.33,0.924
laurens_gsv,2.6m,delta_months,>36,3,3,3,15.232,22.831,7.938,22.176,5.429,15.232,1.818,3.62,-1.448,1.448,3.62,0.978,1.098
laurens_gsv,2.6m,n_views,3,129,43,129,7.208,21.583,5.157,19.825,3.205,7.135,1.286,3.252,0.067,1.064,3.184,0.414,0.986
laurens_gsv,2.6m,n_views,4-5,163,37,163,5.137,16.271,3.508,15.735,2.484,6.224,1.003,3.507,0.11,0.714,3.306,0.262,0.897
laurens_gsv,2.6m,n_views,6+,30,5,30,4.49,13.989,2.324,12.461,2.632,5.486,1.374,3.23,0.771,1.152,3.225,0.191,0.757
annapolis,2.6m,range_m,0-8,4711,1955,4711,17.049,44.894,13.463,41.56,6.292,17.346,0.978,2.074,0.49,0.649,1.642,0.473,1.401
annapolis,2.6m,range_m,8-12,9405,2550,9405,10.825,25.596,8.017,23.432,4.317,12.683,1.426,3.2,0.605,1.138,2.958,0.472,1.38
annapolis,2.6m,range_m,12-18,6089,2299,6089,8.642,20.268,5.782,17.772,4.117,11.86,2.526,5.129,0.889,2.298,4.976,0.5,1.471
annapolis,2.6m,range_m,18-25,4023,1944,4023,8.612,19.247,5.143,18.152,3.997,10.165,4.366,7.449,3.477,3.967,7.362,0.571,2.025
annapolis,2.6m,source,mapillary,24228,2727,24228,10.586,27.75,7.383,25.582,4.492,12.689,1.688,5.142,0.735,1.377,4.846,0.494,1.489
annapolis,2.6m,delta_months,0,17724,2727,17724,10.911,28.268,7.589,26.139,4.663,13.089,1.674,5.218,0.7,1.352,4.909,0.496,1.503
annapolis,2.6m,delta_months,>36,6504,1954,6504,9.731,26.11,6.885,24.189,4.129,11.394,1.723,4.915,0.842,1.433,4.65,0.489,1.461
annapolis,2.6m,n_views,3,810,270,810,12.471,37.913,10.282,36.548,4.447,11.576,2.316,5.789,0.609,1.645,5.217,0.765,2.637
annapolis,2.6m,n_views,4-5,2235,496,2235,13.135,38.434,10.306,36.739,4.549,12.958,1.965,5.537,0.69,1.436,5.097,0.708,2.215
annapolis,2.6m,n_views,6+,21183,1961,21183,10.326,26.207,7.085,23.868,4.491,12.689,1.637,5.045,0.745,1.366,4.811,0.47,1.365
morgantown,2.6m,range_m,0-8,2663,959,2663,15.447,52.632,12.052,48.485,5.63,19.903,0.827,2.452,0.258,0.536,1.836,0.41,1.583
morgantown,2.6m,range_m,8-12,3278,1081,3278,9.645,28.122,7.389,26.184,3.899,11.338,1.261,3.142,0.485,0.996,2.762,0.438,1.576
morgantown,2.6m,range_m,12-18,1688,882,1688,7.692,20.945,5.502,19.148,3.582,9.058,2.175,4.514,1.299,1.965,4.236,0.47,1.592
morgantown,2.6m,range_m,18-25,1455,702,1455,6.832,15.339,4.398,14.08,3.209,8.193,3.459,6.437,2.789,3.269,6.337,0.493,1.579
morgantown,2.6m,source,mapillary,9084,1171,9084,9.648,32.054,7.202,29.26,4.09,12.231,1.377,4.405,0.578,1.092,4.011,0.444,1.577
morgantown,2.6m,delta_months,0,6525,1171,6525,9.754,31.84,7.166,28.913,4.29,12.569,1.403,4.494,0.644,1.132,4.106,0.434,1.579
morgantown,2.6m,delta_months,1-18,2559,553,2559,9.44,32.656,7.37,30.15,3.656,11.04,1.313,4.07,0.435,1.009,3.612,0.471,1.573
morgantown,2.6m,n_views,3,441,147,441,10.166,42.19,7.573,40.919,4.048,13.997,1.509,4.789,0.459,1.141,3.792,0.473,1.977
morgantown,2.6m,n_views,4-5,1059,235,1059,10.586,37.511,8.429,34.306,3.926,13.267,1.379,4.421,0.539,0.987,3.907,0.477,1.832
morgantown,2.6m,n_views,6+,7584,789,7584,9.531,30.903,7.058,28.046,4.124,12.036,1.368,4.366,0.594,1.106,4.017,0.44,1.482
