city,height_model,capture_year,n_views,n_sites,naive_slope,naive_slope_se,naive_intercept_m,scale_s,scale_s_se,implied_range_scale_k,k_lo95,k_hi95,null_naive_slope,null_scale_s,k_null_corrected,rn101_n_views,rn101_n_sites,rn101_slope,rn101_slope_se,null_rn101_slope,rn101_null_share,naive_null_share,obs_abs_along_p50,obs_abs_along_p90,null_abs_along_p50,null_abs_along_p90,obs_abs_cross_p50,obs_abs_cross_p90,null_abs_cross_p50,null_abs_cross_p90,r2fit_scale_s,r2fit_scale_s_se,r2fit_k,r2fit_dy_offset_px,r2fit_dy_offset_px_se
paterson,per-pano,2015,123,106,0.0477,0.0329,-1.2816,-0.0444,0.0151,0.9575,0.9311,0.9854,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2016,152,106,0.0572,0.0296,-1.8025,-0.0734,0.0151,0.9316,0.9066,0.958,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2017,82,81,0.1045,0.0393,-2.096,-0.0525,0.0186,0.9501,0.9184,0.9842,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2018,1045,716,0.0471,0.0114,-1.1567,-0.0391,0.0051,0.9624,0.9532,0.9717,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2019,1136,699,0.0554,0.0099,-1.1548,-0.0304,0.0046,0.9705,0.9622,0.979,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2020,1938,1065,0.0635,0.0084,-1.2694,-0.0319,0.0039,0.9691,0.9619,0.9763,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2021,1343,733,0.0586,0.0099,-1.196,-0.0293,0.0044,0.9715,0.9634,0.9798,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2022,48,28,0.0654,0.0319,-1.3927,-0.0393,0.0136,0.9622,0.9381,0.9875,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2024,6063,2695,0.0513,0.0045,-1.183,-0.0344,0.0021,0.9668,0.9629,0.9707,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,2025,10627,3374,0.1312,0.0048,-1.9179,-0.0137,0.0022,0.9865,0.9823,0.9907,,,,,,,,,,,,,,,,,,,,,,,
paterson,per-pano,other,2,2,,,,-0.1919,0.0915,0.839,0.7292,0.9877,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,all,8645,2057,0.1096,0.0042,-0.4095,0.0924,0.0021,1.1019,1.097,1.1068,0.054,0.0107,1.089,8358,1965,0.1128,0.0039,0.0503,0.446,0.492,1.552,3.944,1.079,2.786,0.561,1.634,0.811,1.978,0.0523,0.0056,1.0552,-0.954,0.134
gainesville,2.6m,2007,39,29,-0.0675,0.1104,0.9868,0.0167,0.0369,1.0169,0.9473,1.0976,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2011,85,53,0.0625,0.0484,-1.285,-0.0319,0.0218,0.9691,0.9305,1.011,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2014,30,21,0.0557,0.0329,-1.4666,-0.0481,0.0177,0.9541,0.9235,0.9867,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2015,73,43,0.0181,0.0479,-1.3253,-0.0847,0.0219,0.9219,0.8869,0.9599,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2016,115,72,0.0297,0.0411,-1.3327,-0.0793,0.0187,0.9265,0.8961,0.9591,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2018,298,147,0.0563,0.0224,-1.448,-0.0706,0.0105,0.934,0.9165,0.9523,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2019,75,48,0.0156,0.0472,-1.2284,-0.0845,0.029,0.9221,0.8761,0.9731,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2021,160,69,0.0818,0.0262,-0.3766,0.0626,0.0099,1.0668,1.0451,1.0894,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2022,319,160,0.1143,0.0204,-0.6903,0.0689,0.008,1.0741,1.0562,1.0925,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2023,502,224,0.1257,0.0146,-1.0617,0.0591,0.0069,1.0628,1.0478,1.0783,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2024,2113,789,0.072,0.0075,-0.638,0.0375,0.0032,1.039,1.0323,1.0457,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2025,544,233,0.0654,0.0152,-0.3444,0.0505,0.0061,1.0532,1.0402,1.0665,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,2026,4278,1417,0.103,0.0058,0.4884,0.1517,0.0026,1.1788,1.1717,1.186,,,,,,,,,,,,,,,,,,,,,,,
gainesville,2.6m,other,14,13,0.0825,0.1402,-2.2085,-0.0652,0.0556,0.9388,0.8516,1.0458,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,all,11178,2486,0.1201,0.0043,-1.8231,-0.0136,0.002,0.9866,0.9827,0.9905,0.0678,0.0112,0.9758,10839,2378,0.0972,0.0043,0.0601,0.618,0.565,1.183,3.386,1.097,2.828,0.434,1.267,0.799,1.939,-0.1651,0.0049,0.8583,-3.149,0.106
gainesville,per-pano,2007,34,26,0.2197,0.0802,-1.8909,0.0609,0.044,1.0648,0.9753,1.1724,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2011,86,54,0.0859,0.0509,-1.5373,-0.0325,0.0216,0.9685,0.9304,1.0098,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2014,35,26,0.0236,0.0341,-1.7025,-0.1072,0.0236,0.9032,0.867,0.9425,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2015,72,43,0.0145,0.0578,-1.3839,-0.0932,0.0255,0.9148,0.8748,0.9586,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2016,114,72,0.03,0.0433,-1.259,-0.0726,0.0203,0.9323,0.8989,0.9682,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2018,295,144,0.0472,0.0231,-1.4627,-0.0785,0.0104,0.9272,0.91,0.9452,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2019,64,43,0.0807,0.0631,-1.6016,-0.0556,0.0344,0.9473,0.8904,1.012,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2021,156,70,0.0585,0.0303,-0.9749,-0.0118,0.0142,0.9883,0.9618,1.0162,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2022,349,182,0.0561,0.0212,-1.1054,-0.0277,0.0096,0.973,0.9556,0.9911,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2023,521,236,0.0904,0.0162,-1.4455,-0.0118,0.0078,0.9884,0.9736,1.0036,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2024,2174,825,0.0686,0.008,-1.0378,-0.0018,0.0037,0.9982,0.991,1.0055,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2025,574,253,0.0397,0.016,-0.7693,-0.0124,0.0073,0.9878,0.9739,1.002,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,2026,6684,1857,0.1563,0.0059,-2.2377,-0.0123,0.0029,0.9878,0.9823,0.9934,,,,,,,,,,,,,,,,,,,,,,,
gainesville,per-pano,other,20,18,0.2535,0.1008,-3.3868,0.0039,0.0514,1.0039,0.9117,1.117,,,,,,,,,,,,,,,,,,,,,,,
sao_paulo,2.6m,all,12262,2371,0.0682,0.0034,-0.8024,0.0163,0.0016,1.0166,1.0133,1.0199,0.0483,0.0093,1.0071,11915,2265,0.058,0.0033,0.0438,0.757,0.708,0.936,3.083,1.017,2.616,0.432,1.348,0.771,1.878,-0.0803,0.0042,0.9257,-2.338,0.109
sao_paulo,2.6m,2014,355,149,0.0096,0.0203,-0.7879,-0.0467,0.0081,0.9554,0.9411,0.9702,,,,,,,,,,,,,,,,,,,,,,,
sao_paulo,2.6m,2018,50,43,0.1416,0.0441,-1.3352,0.0572,0.0215,1.0607,1.0154,1.1102,,,,,,,,,,,,,,,,,,,,,,,
sao_paulo,2.6m,2019,59,48,0.0108,0.0326,0.0393,0.0208,0.0161,1.0212,0.9894,1.0551,,,,,,,,,,,,,,,,,,,,,,,
