city,convention,n_sites,n_sites_before_intersection,n_pairs,mean_pair_m,median_pair_m,p90_pair_m,mean_pair_over_range,mean_pair_m_tilt_0-1.5,n_pairs_tilt_0-1.5,median_pair_m_grade_0-1.5,n_pairs_grade_0-1.5,median_pair_m_relroad_0-1.5,n_pairs_relroad_0-1.5,mean_pair_m_tilt_1.5-3,n_pairs_tilt_1.5-3,median_pair_m_grade_1.5-3,n_pairs_grade_1.5-3,median_pair_m_relroad_1.5-3,n_pairs_relroad_1.5-3,mean_pair_m_tilt_3-5,n_pairs_tilt_3-5,median_pair_m_grade_3-5,n_pairs_grade_3-5,median_pair_m_relroad_3-5,n_pairs_relroad_3-5,mean_pair_m_tilt_5-10,n_pairs_tilt_5-10,median_pair_m_grade_5-10,n_pairs_grade_5-10,median_pair_m_relroad_5-10,n_pairs_relroad_5-10,mean_pair_m_tilt_10+,n_pairs_tilt_10+,median_pair_m_grade_10+,n_pairs_grade_10+,median_pair_m_relroad_10+,n_pairs_relroad_10+
morgantown,both-flipped,1201,1359,32389,5.971122899064004,3.53652930177608,12.346941080197245,0.40493242369538623,2.9804559371726844,2940,3.00674099920433,10280,3.465448919501681,27410,3.9611888780684836,9749,3.4142724925881747,10841,3.876921934037369,3889,6.379708281512781,12533,4.043898093725166,6745,4.175097890631461,661,9.048984141706434,6704,4.890718097891212,4255,4.322559500117788,366,11.657138600447231,463,4.7523958529559875,217,4.551768415567886,12
morgantown,pitch-only,1201,1359,32389,4.164516787836039,2.592687995621547,8.585574679964223,0.2990305113392391,2.5034004874666813,2940,2.2052682662856147,10280,2.568425728936229,27410,3.0824243811598344,9749,2.5397504616184006,10841,2.7251289898539506,3889,4.109186727742938,12533,2.8616941977415085,6745,2.57678397051956,661,6.407479781069584,6704,3.8174277965987264,4255,3.4588709507899713,366,6.517926144815248,463,5.294794658674716,217,2.5371434829661785,12
morgantown,roll-only,1201,1359,32389,3.072578033213748,2.2167535445253126,6.476027047534079,0.24839138191444932,2.5044174727532824,2940,2.0627747800729788,10280,2.188679500801562,27410,2.7120031040148276,9749,2.158718481760016,10841,2.329626439281144,3889,3.0868747263961502,12533,2.3493974049040838,6745,2.3241947502795064,661,3.721804189981176,6704,2.532943692246557,4255,3.2433953500483406,366,4.485200974661172,463,2.330857890406452,217,5.197001729952019,12
morgantown,road-relative,1201,1359,32389,2.831461560129455,2.0666928312692323,6.108030394379495,0.23099733713161866,2.510262724852398,2940,2.010076859201512,10280,2.0203390943753723,27410,2.763193903838751,9749,2.04868279613998,10841,2.22585111716634,3889,2.8497501677319876,12533,2.121503283366701,6745,2.4609575913081074,661,3.0124049550631216,6704,2.153245004213818,4255,3.7828232131215045,366,3.1934708866408514,463,1.8357967492400475,217,6.725520986151978,12
annapolis,off,3101,3135,119907,3.291098521886259,2.752932109759765,6.682579223519276,0.25284056650218867,2.88325410344272,4383,2.771922267936124,83284,2.375157565616748,1988,3.230529231691299,40285,2.7061827994441874,28703,2.7348441477094916,74831,3.35100876482731,63740,2.713827175005346,5269,2.813354426277848,39903,3.3285043704131962,11484,2.6744056098544298,437,2.697581174519638,1007,1.915651321621628,15,2.755318948486172,99,3.255135771840995,63
annapolis,documented,3101,3135,119907,3.893823524688842,2.784770734173401,8.352901126857788,0.26198821368829517,2.8266653786085096,4383,2.705591816614418,83284,2.821359668162532,1988,3.43644035157499,40285,2.9337015136649662,28703,2.8620709865718705,74831,4.040099519156773,63740,3.269383595986895,5269,2.6497293714120795,39903,5.092240135488923,11484,3.7185252187678897,437,2.2233296307791406,1007,5.012959347857761,15,2.86583191840988,99,3.7893974304383873,63
annapolis,pitch-flipped,3101,3135,119907,6.775799350361916,4.607450715881451,14.84563278360751,0.4376427838774193,3.3429443389325586,4383,4.715586085422809,83284,2.9745925551697225,1988,5.407124896470098,40285,4.375740209538478,28703,4.477212335592701,74831,7.391795041420929,63740,4.455573350210557,5269,5.004519478951415,39903,9.462306641870455,11484,5.082029203789371,437,4.570434164755577,1007,11.298386439773939,15,3.229842521087729,99,3.7076326206945605,63
annapolis,roll-flipped,3101,3135,119907,4.199759881341147,2.925608964186597,8.922642347896174,0.28450667855328365,2.9259224668742205,4383,2.8198688474269233,83284,2.9262216703659085,1988,3.58412260504089,40285,3.153121628002781,28703,3.016898040899185,74831,4.385522151735406,63740,3.54621680213184,5269,2.7628720285412958,39903,5.806447481768091,11484,4.025062807904405,437,2.496810040035577,1007,10.36572955675653,15,2.6098703332945203,99,3.556580646218545,63
annapolis,both-flipped,3101,3135,119907,6.50915210263399,4.581105088469402,13.677571512417005,0.4415070835966899,3.406461711692731,4383,4.66089956319041,83284,3.223968586093587,1988,5.321640329778867,40285,4.427112099588676,28703,4.4470094148701955,74831,6.989587629121091,63740,4.37389722606045,5269,4.982639876473429,39903,9.178496188323457,11484,5.467922128562271,437,4.5660459994833955,1007,17.195539743865307,15,3.2750232907772543,99,3.716907449582191,63
annapolis,pitch-only,3101,3135,119907,3.687364551589167,2.618348135147638,7.861575723020103,0.25389205339373644,2.8073981389519327,4383,2.5178630192128546,83284,2.6899608300794156,1988,3.238765367987519,40285,2.825882887546521,28703,2.6799898126802537,74831,3.809928297141164,63740,3.256935433780822,5269,2.5049839486518883,39903,4.913623251132522,11484,3.741677103876209,437,2.1991723043175946,1007,5.963554614336903,15,2.705176855871341,99,3.388501305381519,63
