city,pano_id,tilt_deg,tilt_bucket,pitch_deg,roll_deg,make,model,v_original,v_documented,v_pitch-flipped,v_roll-flipped,v_both-flipped,v_pitch-only,v_roll-only
morgantown,406227845237495,0.34280221317372767,0-1.5,0.3003020336903867,-0.16532482027717546,GoPro,GoPro Max,0.05132365099917321,0.050278458106484875,0.049545263092210974,0.050138059061198385,0.04995086033414973,0.050294058000405595,0.05171364834719124
morgantown,407074681751773,2.3703337000735445,1.5-3,1.5060514305034505,-1.8305908363834464,GoPro,GoPro Max,0.07043352105205684,0.07219630906509836,0.06874873250861895,0.06639314852659002,0.06027799010966725,0.07033992168853252,0.07126031542985507
morgantown,408409558196279,24.821883662008286,10-90,-24.538243521894486,-3.8632391433195514,GoPro,GoPro Max,0.04864046924480914,0.10966725426267102,0.031152988159680515,0.07629908116624808,0.033742570550520254,0.09681294167199662,0.05060605587882002
morgantown,413429987710546,0.6015943504653273,0-1.5,-0.5852001705077754,-0.13948906602667874,GoPro,GoPro Max,0.10211690560504189,0.10105611281843284,0.10141649246513369,0.09991732056222018,0.10063491568257336,0.10060371589473191,0.10275650125579146
morgantown,423595953348322,3.9780760403357833,3-5,-1.9353407986979454,-3.4762252927455743,GoPro,GoPro Max,0.1027097015740293,0.11194483877509633,0.10361449542143114,0.08717220722899084,0.07567508540941921,0.1079044662496295,0.11344242859148558
morgantown,426801413006387,4.592304774903655,3-5,-2.245753954567231,4.006753947375526,GoPro,GoPro Max,0.16788605837480305,0.1919098950127139,0.17280002495983027,0.12082117841598677,0.11430042275712525,0.17035084161427702,0.19220629299720762
morgantown,4607308572828610,3.182435171238532,3-5,2.4542191772237265,-2.0266263336065906,GoPro,GoPro Max,0.24992590050387659,0.2758529242001154,0.21189335912515794,0.20348501630188914,0.17027284214467342,0.26081462646054004,0.25686785329859757
morgantown,533130179129190,3.7504383193452178,3-5,3.630882212850068,0.940034666839864,GoPro,GoPro Max,0.05828120368781492,0.06636194873874858,0.04790727423053523,0.06486435892235932,0.04509929332480539,0.06656474735971796,0.060621187775923124
morgantown,559825463037840,5.120288171624264,5-10,-4.2684838032755295,-2.8305878909821924,GoPro,GoPro Max,0.09785813456468496,0.11125844344258459,0.05757920846138246,0.09423895917507762,0.060605587882002404,0.10626647738795376,0.09352136405472443
morgantown,612101157901284,3.529173069172397,3-5,1.5090522697913582,3.1906391751313596,GoPro,GoPro Max,0.15334695724069075,0.16468808012105518,0.15752772881144408,0.11893359125157948,0.12298956367096704,0.15347175639205654,0.16134970282202082
morgantown,683976123635133,1.828864300019385,1.5-3,1.784045293833966,0.40246660678029844,GoPro,GoPro Max,0.07976225761664821,0.0822426407500429,0.07604948286351652,0.08196184265946992,0.0772038750136499,0.08197744255339064,0.08147824594792756
morgantown,694851952818440,1.7852045695357477,1.5-3,1.746183536778994,0.3712695658783838,GoPro,GoPro Max,0.11698360451148933,0.12044678096188946,0.102054506029359,0.12152317364241923,0.10002651981966523,0.12022838244699936,0.11595401151272171
morgantown,701464722124781,3.833199405102931,3-5,2.1080214888448454,-3.2022322453684744,GoPro,GoPro Max,0.1353134798683369,0.16701246431524266,0.141241439558211,0.0894809915292576,0.08400542876308441,0.1419746345724849,0.15774612732633417
morgantown,708625001301257,2.4582033360957976,1.5-3,1.7539570836816167,-1.7225925843890766,GoPro,GoPro Max,0.06533235573998097,0.0651295571190116,0.06149478183548352,0.061245183532751976,0.05956039498931407,0.06620594979954136,0.0651295571190116
morgantown,715907037015770,2.5182119103859315,1.5-3,-2.5078175933277294,0.228638429373569,GoPro,GoPro Max,0.09572094909754614,0.10239770369561486,0.07959065878352027,0.10136811069684726,0.08004305570722119,0.10068171536433553,0.0956273497340218
morgantown,716002773841007,2.1159455804429568,1.5-3,-0.5959171344458629,-2.0303342393213346,GoPro,GoPro Max,0.0948161552501443,0.09213297349578023,0.09570534920362542,0.09085378219428109,0.0912437795422991,0.09423895917507762,0.09483175514406501
morgantown,730248625779882,3.07692466393524,3-5,2.56987313700097,-1.6926721919565433,GoPro,GoPro Max,0.1691652496763022,0.18652793161006506,0.12370715879132022,0.17484361106344476,0.11501801787747844,0.1836575511286523,0.16874405254044272
morgantown,732241911917653,1.101341174047149,0-1.5,0.41172914986058406,-1.0214937347573767,GoPro,GoPro Max,0.15418935151240973,0.15890051947646755,0.15553094238959175,0.15319095830148355,0.15347175639205654,0.15851052212844952,0.15684133347893234
