city,arm,sites_scored,sites_dropped_by_intersection,pool_ramps,gt_marks_dropped_by_intersection,n_common_matched,median_gt_to_site_m,p90_gt_to_site_m,mean_gt_to_site_m,precision,tp,fp,world_recall_2p5m,world_recall_5m,off_pool_ramps,recall_off_pool_2p5m,recall_off_pool_5m,gt_marks_unplaceable,gt_marks_unplaceable_vs_off,gravity_fallback_share_panos,gravity_fallback_share_members
morgantown,road,839,894,212,55,74,0.7833116398394776,2.2837458237110977,1.0414093329141578,0.9710144927536232,67,2,0.8301886792452831,0.8443396226415094,250,0.8,0.828,21,4,0.0008318501895844618,0.0007140307033202428
morgantown,road-shuffled-within,839,894,212,55,74,0.9931046515552432,2.6008936547774657,1.2798434629875421,0.9710144927536232,67,2,0.8301886792452831,0.8490566037735849,250,0.788,0.812,17,0,0.0008318501895844618,0.0007140307033202428
morgantown,road-shuffled-across,839,894,212,55,74,1.1617935666572479,2.6811947514526944,1.3513017282890336,0.9710144927536232,67,2,0.8254716981132075,0.8490566037735849,250,0.732,0.756,35,18,0.0008318501895844618,0.0007140307033202428
morgantown,road-sfm-smoothed,839,894,212,55,74,0.7508332286802599,2.312856690030011,1.0169248907338435,0.9710144927536232,67,2,0.8254716981132075,0.8537735849056604,250,0.796,0.832,21,4,0.0008318501895844618,0.0007140307033202428
morgantown,road-dem,839,894,212,55,74,0.696976187689208,2.2027016321175132,1.0021770283240024,0.9710144927536232,67,2,0.8207547169811321,0.8537735849056604,250,0.792,0.836,20,3,0.0008318501895844618,0.0007140307033202428
morgantown,road-dem-shuffled-within,839,894,212,55,74,0.9426299793720787,2.56965978644955,1.2585910969899978,0.9710144927536232,67,2,0.8254716981132075,0.8537735849056604,250,0.788,0.816,16,-1,0.0008318501895844618,0.0007140307033202428
annapolis,off,2443,1575,211,83,90,1.3227158780882806,3.0540488028511708,1.5193726342872897,0.9777777777777777,88,2,0.8720379146919431,0.8909952606635071,241,0.8464730290456431,0.8755186721991701,53,0,,
annapolis,gravity,2443,1575,211,83,90,0.9382356909947588,2.3087866814442854,1.2266696297815534,0.9777777777777777,88,2,0.8815165876777251,0.8957345971563981,241,0.8132780082987552,0.8257261410788381,56,3,,
annapolis,road,2443,1575,211,83,90,0.8620498173960999,2.1692721718902432,1.1436223043878255,0.9777777777777777,88,2,0.8862559241706162,0.9004739336492891,241,0.8132780082987552,0.8381742738589212,50,-3,0.007608491452188616,0.010792416140009723
annapolis,road-shuffled-within,2443,1575,211,83,90,0.9833180262669154,2.649111848696359,1.304649401496512,0.9777777777777777,88,2,0.8767772511848341,0.9004739336492891,241,0.8049792531120332,0.8257261410788381,58,5,0.007608491452188616,0.010792416140009723
annapolis,road-shuffled-across,2443,1575,211,83,90,1.037270208416745,2.6631146992705776,1.316070043318647,0.9777777777777777,88,2,0.8815165876777251,0.8957345971563981,241,0.7883817427385892,0.8008298755186722,57,4,0.007608491452188616,0.010792416140009723
annapolis,road-sfm-smoothed,2443,1575,211,83,90,0.9104651982963003,2.0682118112404395,1.146462668524246,0.9777777777777777,88,2,0.8862559241706162,0.9004739336492891,241,0.8174273858921162,0.8381742738589212,48,-5,0.007608491452188616,0.010792416140009723
annapolis,road-dem,2443,1575,211,83,90,0.9088832250515978,2.3173392990231934,1.1546137714980282,0.9777777777777777,88,2,0.8862559241706162,0.9004739336492891,241,0.8215767634854771,0.8423236514522822,51,-2,0.007608491452188616,0.010792416140009723
annapolis,road-dem-shuffled-within,2443,1575,211,83,90,0.9605614318678405,2.6676720927147324,1.288327028583224,0.9777777777777777,88,2,0.8767772511848341,0.9004739336492891,241,0.8049792531120332,0.8257261410788381,56,3,0.007608491452188616,0.010792416140009723
laurens,off,161,25,227,18,115,1.7879173800997745,3.836491915323205,2.007608224432023,0.8735632183908046,76,11,0.5286343612334802,0.6696035242290749,235,0.5106382978723404,0.6595744680851063,9,0,,
laurens,gravity,161,25,227,18,115,1.4254980245398228,2.673499005336253,1.4951714411655945,0.8735632183908046,76,11,0.6167400881057269,0.6828193832599119,235,0.6,0.6638297872340425,13,4,,
laurens,road,161,25,227,18,115,1.4255032387383173,2.614480524003407,1.5023473993544392,0.8735632183908046,76,11,0.6343612334801763,0.6828193832599119,235,0.6212765957446809,0.6638297872340425,12,3,0.0026708212775428445,0.0
laurens,road-shuffled-within,161,25,227,18,115,1.3313017932217153,2.7360193215496733,1.5265208139332251,0.8735632183908046,76,11,0.5991189427312775,0.6696035242290749,235,0.5829787234042553,0.6510638297872341,12,3,0.0026708212775428445,0.0
laurens,road-shuffled-across,161,25,227,18,115,1.397482513221327,2.693483571109971,1.5527026741672145,0.8735632183908046,76,11,0.6255506607929515,0.6784140969162996,235,0.6085106382978723,0.6638297872340425,9,0,0.0026708212775428445,0.0
laurens,road-sfm-smoothed,161,25,227,18,115,1.3927004734530881,2.6799523151992153,1.5135383628574222,0.8735632183908046,76,11,0.6299559471365639,0.6784140969162996,235,0.6170212765957447,0.6595744680851063,12,3,0.0026708212775428445,0.0
laurens,road-dem,161,25,227,18,115,1.3875407129036081,2.7169473139746745,1.4752450624465825,0.8735632183908046,76,11,0.6299559471365639,0.6828193832599119,235,0.6170212765957447,0.6638297872340425,11,2,0.0026708212775428445,0.0
laurens,road-dem-shuffled-within,161,25,227,18,115,1.423208598446581,2.8344108935100802,1.525516662377762,0.8735632183908046,76,11,0.5991189427312775,0.6696035242290749,235,0.5787234042553191,0.6468085106382979,12,3,0.0026708212775428445,0.0
