city,signal,dist_bin_m,vintage,n_pairs,r,rms_diff_over_sqrt2,abs_diff_p50,slope_abs_p50
bend,rig_attitude,50-80,different,31250,0.1039879334802148,1.4068507996380244,1.1364040101270647,0.8738775977969434
paterson,depth,0-5,all,209,0.2848543996821624,1.5579983340299841,0.8490002456113155,0.7591531619423251
paterson,depth,0-5,same,142,0.32240390090982285,1.612506258871752,0.7264975237654994,0.7461242011425515
paterson,depth,0-5,different,67,0.20021038375248243,1.4356491968076148,1.0744363347490111,0.7785894697392246
paterson,depth,5-10,all,9804,0.05385993937902575,1.6685939543606507,0.8834434929597892,0.724015234073518
paterson,depth,5-10,same,8312,0.07584276584037898,1.667555596543736,0.8438256368152968,0.7335545609233075
paterson,depth,5-10,different,1492,-0.0847025744499651,1.6743669066308589,1.1280849725510709,0.6661607945006974
paterson,depth,10-15,all,22252,0.0782621286018785,1.6659492495676287,0.9168747709479941,0.7592905396409007
paterson,depth,10-15,same,19389,0.09149228099392781,1.6531688239835223,0.8742429041380315,0.7588205994927834
paterson,depth,10-15,different,2863,-0.009664056830570436,1.7500470598539208,1.2113048628027634,0.7610313603516398
paterson,depth,15-20,all,11968,0.0884908720365895,1.6943798300988338,1.0683735021621317,0.7441434189928366
paterson,depth,15-20,same,8072,0.13796217770289726,1.6559177623704047,1.0008878989460617,0.7566335744998723
paterson,depth,15-20,different,3896,-0.016827467304952028,1.7714126269810762,1.2067246002717416,0.7246667147867754
paterson,depth,20-30,all,38675,0.1040499666212476,1.6925801754483598,1.0486818450176125,0.7843446707377784
paterson,depth,20-30,same,27774,0.15059099004944865,1.6196592064522661,0.9642230238855294,0.7787744680188265
paterson,depth,20-30,different,10901,-0.0013175521006216241,1.8655325527063158,1.2685761353862268,0.8064619832000828
paterson,depth,30-50,all,87378,0.07175786158575843,1.7603170462294015,1.1371383794408958,0.8078578408288337
paterson,depth,30-50,same,55562,0.12163930719672707,1.6703087856423566,1.0320891710886682,0.8035814576181007
paterson,depth,30-50,different,31816,-0.004723315929980273,1.9073446062857218,1.3265467205617103,0.8154902358730112
paterson,depth,50-80,all,113160,0.06666306903937033,1.7412534634168457,1.1470137362447743,0.8070432163222254
paterson,depth,50-80,same,66468,0.11919842414204097,1.6391506256409705,1.044078615222134,0.810011769873835
paterson,depth,50-80,different,46692,0.002263428355795123,1.8770448417809138,1.2931932873861156,0.8029693420535059
paterson,depth_well_determined,0-5,all,71,0.48693531568906767,1.2985359087399901,0.5842635211547855,0.7236948720369085
paterson,depth_well_determined,0-5,same,52,0.4983363794145893,1.424414755750524,0.5842635211547855,0.6837859510891569
paterson,depth_well_determined,0-5,different,19,0.37792205777768056,0.8649337161582684,0.5883350518857322,0.7591531619423251
paterson,depth_well_determined,5-10,all,3226,0.2495969097863365,1.17206061822435,0.5804996644961052,0.6243079106017299
paterson,depth_well_determined,5-10,same,2756,0.28823223342897003,1.1687699644211178,0.5335315458580743,0.6408680743001383
paterson,depth_well_determined,5-10,different,470,-0.06668205005509723,1.1911735266734884,0.8559566138624932,0.5262298949156166
paterson,depth_well_determined,10-15,all,7341,0.2061475877624753,1.227698236706777,0.6172823069253078,0.6616999964106477
paterson,depth_well_determined,10-15,same,6439,0.2432636420823216,1.1925428625169283,0.5658890919862853,0.6628509714944105
paterson,depth_well_determined,10-15,different,902,-0.037810678714825,1.4541751673720624,1.027746529593699,0.6542673666439343
paterson,depth_well_determined,15-20,all,3836,0.17404852689882283,1.3356203659804975,0.8388943203606885,0.6716203149368108
paterson,depth_well_determined,15-20,same,2589,0.2590817952968816,1.2519143798623786,0.7526449424003092,0.69628940046707
paterson,depth_well_determined,15-20,different,1247,0.009914504191873138,1.494512181855874,0.9842843248723007,0.6373937455808645
paterson,depth_well_determined,20-30,all,12422,0.16541931924173292,1.339785708649883,0.7923297349878825,0.6901409717739346
paterson,depth_well_determined,20-30,same,9155,0.23239080236174076,1.2556797731931186,0.7066430216770395,0.6889764429090693
paterson,depth_well_determined,20-30,different,3267,0.006136109184493595,1.5513682812055025,1.0467146819388429,0.6963919931029848
paterson,depth_well_determined,30-50,all,27369,0.09587623614181658,1.422488770613371,0.8624103205263998,0.7032634605534698
paterson,depth_well_determined,30-50,same,18189,0.1608006367808604,1.3306785263863472,0.7723491356354952,0.7145606701262662
paterson,depth_well_determined,30-50,different,9180,-0.012894695453357545,1.5888057731970024,1.0716708875376453,0.6806833764929198
paterson,depth_well_determined,50-80,all,35910,0.11453307006107057,1.3967353259121795,0.8912972884735333,0.7081099858718283
paterson,depth_well_determined,50-80,same,22376,0.18867823273893772,1.2869447719180034,0.7924765223134386,0.7296352372754326
paterson,depth_well_determined,50-80,different,13534,0.013381333586262652,1.561412041842092,1.0627918162404433,0.6782007597469071
paterson,rig_attitude,0-5,all,209,0.5637771382041123,1.4673977389877757,0.5448864526213683,1.105374989870044
paterson,rig_attitude,0-5,same,142,0.6798978066194018,1.2812653719164464,0.41846113058678824,1.077224428697179
paterson,rig_attitude,0-5,different,67,0.30318667895659485,1.7993262197987985,1.04334368952075,1.1515995553585787
paterson,rig_attitude,5-10,all,9804,0.7940861024765927,0.9362619813088933,0.33966092072279475,1.0538121285066255
paterson,rig_attitude,5-10,same,8312,0.8506951999663488,0.8152452056807806,0.2909614571904643,1.0730279406737913
paterson,rig_attitude,5-10,different,1492,0.3514804789658031,1.4343761988872707,0.9770965373059226,0.9543937978514337
paterson,rig_attitude,10-15,all,22252,0.7486842343827248,1.0328413905590665,0.3664247455074219,1.0471943176942715
paterson,rig_attitude,10-15,same,19389,0.8278718967653474,0.8624002764289321,0.3172997918499165,1.0526558552498702
paterson,rig_attitude,10-15,different,2863,0.1254352794178084,1.8039919812929959,1.210896387127221,1.006464505760156
paterson,rig_attitude,15-20,all,11968,0.4696546141268874,1.4814458417123046,0.6748215690136738,1.041933725996925
paterson,rig_attitude,15-20,same,8072,0.6146315460741215,1.300951867873388,0.4968038739645171,1.0777975253889003
paterson,rig_attitude,15-20,different,3896,0.10328015034046938,1.7986624629995431,1.1880601610244481,0.9738499985312462
paterson,rig_attitude,20-30,all,38675,0.4868046910399295,1.4512795545648713,0.6519096971985063,1.0502271954762752
paterson,rig_attitude,20-30,same,27774,0.6505949695181654,1.2104136572689141,0.4810527996005458,1.0618674646601607
paterson,rig_attitude,20-30,different,10901,0.03451796055092073,1.933820230866614,1.3178593042809417,1.0241802356632277
paterson,rig_attitude,30-50,all,87378,0.32497918511314916,1.6307324359135007,0.8920202665054375,1.033372480851708
paterson,rig_attitude,30-50,same,55562,0.5143458836894891,1.3891392465350305,0.6668463056444198,1.0449475384033309
paterson,rig_attitude,30-50,different,31816,-0.0139389890585874,1.983278600719439,1.3786752179643833,1.0154741336441253
