city,site_set,arm,n_sites,n_sites_before_intersection,n_pairs,median_pair_m,mean_pair_m,p90_pair_m,mean_pair_over_range,n_pairs_both_measured,median_pair_m_both_measured,n_pairs_welldet,median_pair_m_welldet,n_pairs_welldet_grade_2+,median_pair_m_welldet_grade_2+,median_pair_m_grade_0-1,mean_pair_m_grade_0-1,p90_pair_m_grade_0-1,n_pairs_grade_0-1,median_pair_m_tilt_0-1,n_pairs_tilt_0-1,median_pair_m_grade_1-2,mean_pair_m_grade_1-2,p90_pair_m_grade_1-2,n_pairs_grade_1-2,median_pair_m_tilt_1-2,n_pairs_tilt_1-2,median_pair_m_grade_2-4,mean_pair_m_grade_2-4,p90_pair_m_grade_2-4,n_pairs_grade_2-4,median_pair_m_tilt_2-4,n_pairs_tilt_2-4,median_pair_m_grade_4+,mean_pair_m_grade_4+,p90_pair_m_grade_4+,n_pairs_grade_4+,median_pair_m_tilt_4+,n_pairs_tilt_4+
bend,capped_4arm,off,8815,11655,54677,1.5803352604541614,1.9345123094008325,3.96475085468919,0.1509038403617098,43170,1.5434718807460654,13964,1.539365511059484,297,1.7697171224252541,1.554572890842546,1.9223823106347453,3.9931631383993396,28720,1.4685097396827544,7899,1.5167712467320635,1.9001794239701637,3.9709332844727845,11371,1.5467483699872369,20840,1.5247083168207816,1.875741603874349,3.930941185525703,2731,1.5939527401955895,12701,1.6569012185109033,1.929279165435338,3.6860426679762606,348,1.486635539641598,1730
bend,capped_4arm,ground-normal,8815,11655,54677,1.8839369773291765,2.334550425871604,4.75298915607858,0.18528828280154053,43170,1.8968683444878913,13964,1.8183684047771913,297,2.332079575688335,1.868008748722053,2.2999518788575086,4.730981162431458,28720,1.538484551132631,7899,1.8471977414989995,2.3264767160516477,4.764507079476934,11371,1.7906275628894819,20840,2.368887571583452,2.9926207509685954,6.366118681216964,2731,2.207332127718971,12701,3.6856706734742892,4.639793572432869,10.25152034735917,348,3.2237712209453933,1730
bend,capped_4arm,shuffled-normal,8815,11655,54677,1.927411901503753,2.4189322725463747,4.989677045314609,0.1910713705756301,43170,1.9558949934812317,13964,1.952856977197472,297,1.9779453124938144,1.988470744095295,2.511365092690996,5.218715710241301,28720,1.8990724362743345,7899,1.913503238170977,2.4183939656209823,5.066551475586064,11371,1.9641250306098692,20840,1.8189169233592188,2.3195717084001184,4.925311705424195,2731,1.9813745315124276,12701,2.0551378816447605,2.342785281477702,4.396682171504681,348,1.8922562380896453,1730
bend,capped_4arm,rig-attitude-normal,8815,11655,54677,1.9585443000751805,2.4356814499190644,5.004401873522354,0.19293823410893257,43170,1.9832332177634828,13964,1.9697335849646767,297,2.127175376943105,2.00922109885067,2.4954684546458594,5.17039182729349,28720,1.893313685484687,7899,1.9157147352779942,2.4579923706935034,5.152408318020244,11371,1.9443194283219905,20840,1.9564146930264574,2.468517219515543,5.101195739814969,2731,2.080737881766113,12701,2.2047964242545777,2.6825821172641238,5.523988389576235,348,2.0153790959282154,1730
paterson,uncapped,off,5910,5999,38060,2.3025643737134565,2.601403771786335,4.922504883548586,0.18904966428704456,31740,2.3574195458943694,10523,2.4428367678023286,1110,2.670287840182067,2.2352271632311607,2.5481095759037125,4.891877943121958,14562,2.292236106141014,3579,2.4999894831509497,2.756752085775741,5.108612274858229,11009,2.33950986208244,12368,2.4007356057733418,2.688206432286764,5.053922611206704,4947,2.3952434071109945,11491,2.4525684001713794,2.719786049126303,5.194262933889049,1222,2.3666398229388097,4302
paterson,uncapped,ground-normal,5910,5999,38060,2.852208343487985,4.162980057569657,7.943761210640095,0.26542548096720947,31740,2.9823275231924535,10523,2.869128113965171,1110,4.108310170095245,2.6208017757424655,3.2301482324230224,6.272736698231733,14562,2.3884758739488383,3579,3.040680558823201,3.9844910675926433,8.266285968454246,11009,2.644713876664995,12368,3.962634288527509,6.620266178789333,15.113776359993254,4947,3.2302180314507583,11491,5.471454350404605,11.860109137781944,34.57343409613725,1222,4.708532690145875,4302
paterson,uncapped,shuffled-normal,5910,5999,38060,2.985399964551452,4.509393984608222,8.624262806610147,0.28132695400103314,31740,3.141406932561713,10523,3.201713660146529,1110,3.4734381496366735,3.036943835974172,4.543813981533756,8.8790840486316,14562,3.1144048610981527,3579,3.2371024625183953,4.896980569925097,9.340703871841022,11009,3.063982216934005,12368,3.22644604216002,4.977837676928048,9.28334000588426,4947,3.2254769385677875,11491,3.259404111213783,4.879209964785841,8.949925160377077,1222,3.1934972818358216,4302
paterson,capped,off,4065,5999,22039,2.1766724025379776,2.457818541651357,4.6609172973810775,0.1862682332053039,17649,2.218690222181453,5970,2.3056329578741153,558,2.430592913250606,2.1498722964320356,2.452891346013752,4.756818854407857,8602,2.2334684276216197,2168,2.3474630102795717,2.576408999327743,4.777115854411885,5989,2.228277292763209,7032,2.162232307672123,2.440887457322001,4.646108135992282,2461,2.221295481779668,6208,2.1701851551572444,2.445745390759838,4.685579805617963,597,2.1520644116816166,2241
paterson,capped,ground-normal,4065,5999,22039,2.5441296043282717,3.0362745017675645,5.892472149165116,0.23264808854887434,17649,2.6133155193792303,5970,2.559085202915639,558,2.979923769487115,2.436517767101135,2.8904481887265825,5.670586700430145,8602,2.2929436091579367,2168,2.658984341581611,3.1243225295950348,6.043530683648303,5989,2.4242717563598832,7032,3.0299460005487173,3.6185617724531336,7.103180310590841,2461,2.720384849935221,6208,3.8635794118278284,4.74536759548583,10.040422074579995,597,3.587573487052813,2241
paterson,capped,shuffled-normal,4065,5999,22039,2.6003355078891337,3.12861803594749,6.132086944469635,0.24080760454941683,17649,2.7104899402108114,5970,2.7727381344363793,558,2.741330289253881,2.648597460510548,3.2187129704925335,6.446338618805928,8602,2.7308939570019986,2168,2.8341179975437405,3.347299417494168,6.42602310978724,5989,2.695522234820981,7032,2.6304271454905805,3.16402335148325,6.2454137079660725,2461,2.7503893406053903,6208,2.44142919332423,3.1836127441224304,6.390634808408201,597,2.643029569779603,2241
paterson,uncapped_4arm,off,5899,5999,37975,2.3025643737134565,2.6006844259398347,4.920742686000136,0.18903053618472193,31670,2.358238231521358,10503,2.4428367678023286,1108,2.6765773055125686,2.2357247537804597,2.5478903286231804,4.890223292650273,14539,2.292236106141014,3576,2.498622778181401,2.754629015197231,5.106001894695496,10984,2.338532499600263,12353,2.4044391640854954,2.691088603484952,5.061941786520122,4928,2.398069787931697,11450,2.46192249548533,2.7226262518710955,5.194262933889049,1219,2.368112370905767,4291
