city,year,n_measured,grade_abs_p50,grade_abs_p90,cross_abs_p50,cross_p50_signed,ground_d_p50
gainesville,2018,162,0.64702395241576,1.5714330886565415,1.1039759137707088,0.2305361404017968,2.0686004161834717
gainesville,2019,64,0.6099573562769727,1.4196947550362293,0.5634460493225218,-0.0018720896537174386,2.1461477279663086
gainesville,2021,334,0.36337951191280815,1.4768134480824286,1.225042036787063,-0.8311263920991607,2.302483320236206
gainesville,2022,2226,0.4559456888016359,1.5814055364075867,0.8881005048044468,0.13305024808914445,2.2753448486328125
gainesville,2023,1620,0.4180665541988851,1.3131468017894046,0.9989096602927253,-0.5198614675469294,2.3000972270965576
gainesville,2024,2286,0.3452641482546062,1.3190767506520906,1.2130561117226053,-1.02337002876004,2.313570261001587
gainesville,2025,1127,0.4500143336588009,1.0379528511563707,0.8312214217731015,-0.7033956006801143,2.286626100540161
gainesville,2026,21950,0.8956179022352072,1.7166550395053304,0.9501670583903786,-0.40586186127438706,1.7607072591781616
sao_paulo,2010,2,2.2890480668370277,3.492485267871024,1.5276025868916583,-2.3130239213175594,2.009500026702881
sao_paulo,2011,28,1.85832055372147,3.260256492554036,1.8974277795339158,0.24050196473246888,2.3807144165039062
sao_paulo,2014,36,1.045918543882149,3.003888616338826,1.5913842049215277,0.8244207082719128,2.391190528869629
sao_paulo,2015,3,1.3925821729654844,1.5806851685644445,2.2845279715529534,0.5507023481238571,2.384033441543579
sao_paulo,2016,64,3.331191877085725,7.402665717277541,2.9430316667115357,0.09569876619679797,1.738533616065979
sao_paulo,2017,174,9.187258546055169,11.58225408197097,3.0367797424291325,2.890752846003403,1.7154006958007812
sao_paulo,2018,152,1.6895874864787124,5.8682530635986545,2.4985878603609692,1.5829392117872239,2.101890802383423
sao_paulo,2019,131,0.7484935886664138,2.515612159529712,1.070740230804908,0.028781459770752995,2.24503493309021
sao_paulo,2020,83,0.51310805778448,2.223906939340459,1.1927181317984812,0.6022316339833731,2.150542736053467
sao_paulo,2021,876,4.49091373537498,10.261897136643855,3.356576967315529,-3.22988859558951,1.6484606266021729
sao_paulo,2022,714,0.8898101387136581,2.997616535241901,1.39951772614635,-0.05496771808094658,2.2217414379119873
sao_paulo,2023,1443,0.7157302407232624,2.764897842236535,1.414219671889412,-0.07115231545225564,2.2640326023101807
sao_paulo,2024,7052,0.7511778124488726,2.7306220564772987,1.308992908003428,-0.3169879802750254,2.2694687843322754
sao_paulo,2025,7595,1.2550846719455144,3.390626359345102,1.5558423182723669,-0.2650781746055417,2.231475591659546
sao_paulo,2026,253,2.2664634739082,3.2872794454099785,1.134139717176641,0.2005860213300048,2.12996244430542
