city,axis,subset,meta_bin_deg,n,depth_p25,depth_p50,depth_p75
sao_paulo,pitch,all,-3,204,-1.4356137721190743,-0.22147835163893975,0.6590917779594402
sao_paulo,pitch,all,-2,462,-1.1469519508191568,-0.16229731151717383,0.7994167427847477
sao_paulo,pitch,all,-1,1673,-0.8468197331067632,-0.141148167300665,0.6172965374722508
sao_paulo,pitch,all,0,6429,-0.39853019512654303,0.22664221654098293,0.8074250968050339
sao_paulo,pitch,all,1,4633,0.010976534078641487,0.6453373620785651,1.2860650507441649
sao_paulo,pitch,all,2,2071,0.5271908369207963,1.7193499927086022,2.365726631835272
sao_paulo,pitch,all,3,1178,0.74633407936531,2.125815958352449,2.652662607344216
sao_paulo,pitch,all,4,423,0.8324229121372982,2.212424058406,3.4435722203205303
sao_paulo,pitch,all,5,306,0.8311670581895381,2.6897966173158347,4.942912207848334
sao_paulo,pitch,all,6,250,1.4818843096577587,4.914834235511205,6.288519369568114
sao_paulo,pitch,all,7,170,1.7266572317417268,5.607152969026548,7.992287642841227
sao_paulo,pitch,all,8,367,3.563890110644465,8.748252989348801,11.012575486382522
sao_paulo,pitch,well_determined,-8,17,-1.2008086990706424,0.4703418812140781,0.8741677009107258
sao_paulo,pitch,well_determined,-7,8,-0.46870790512374927,0.3164414395892092,0.6887880649459214
sao_paulo,pitch,well_determined,-6,19,-1.69303300698425,-0.3096488604974881,0.6141297097423702
sao_paulo,pitch,well_determined,-5,35,-3.070315015163656,-0.36947029372036994,1.2967205556028558
sao_paulo,pitch,well_determined,-4,39,-1.416855096434411,-0.3106911838968314,0.25158847022492015
sao_paulo,pitch,well_determined,-3,68,-2.1864894600106566,-0.45837637902646466,0.5771269967601494
sao_paulo,pitch,well_determined,-2,190,-1.0757224999324224,-0.3820360709182058,0.37704856664743497
sao_paulo,pitch,well_determined,-1,771,-0.6928910044162024,-0.11439404923889863,0.46434643083181487
sao_paulo,pitch,well_determined,0,2938,-0.21614189829089386,0.2376516132542837,0.6534199029379127
sao_paulo,pitch,well_determined,1,2167,0.17772571046229851,0.6485462647102546,1.1058255729618935
sao_paulo,pitch,well_determined,2,986,0.6990465399061262,1.8458714194202717,2.33970951642745
sao_paulo,pitch,well_determined,3,595,1.4980581390213705,2.24611028473281,2.6143092992266137
sao_paulo,pitch,well_determined,4,228,1.8489396465207086,2.708475887304552,3.670277005836454
sao_paulo,pitch,well_determined,5,151,2.2196423044824196,3.7566492347944775,5.524796250592519
sao_paulo,pitch,well_determined,6,134,3.750368042471893,5.431937296537407,6.525200653430837
sao_paulo,pitch,well_determined,7,86,3.132016002855692,6.767909490633061,8.17038669908091
sao_paulo,pitch,well_determined,8,205,8.261206902149105,10.059953988098846,11.262716611387004
sao_paulo,roll,all,-8,28,7.55580591576381,8.698071781425547,9.820864026704594
sao_paulo,roll,all,-7,28,4.640659508392066,6.719729872327082,8.712649319575814
sao_paulo,roll,all,-6,60,3.537506026646491,5.707689089493875,6.973439449515103
sao_paulo,roll,all,-5,149,3.0452495567472835,4.760151035346383,6.147343102329238
sao_paulo,roll,all,-4,292,2.299644330521764,3.6039770161258033,4.424332844865683
sao_paulo,roll,all,-3,580,1.5191597544865474,2.6766645942786984,3.583499280411697
sao_paulo,roll,all,-2,1388,0.6046531287122695,1.6766350989759244,2.561707774396679
sao_paulo,roll,all,-1,2955,-0.13012257291770926,0.8135819434677255,1.6706096870815705
sao_paulo,roll,all,0,4708,-0.9513637236980721,-0.02705584749821769,0.8231271167849543
sao_paulo,roll,all,1,4217,-1.8335121846743372,-0.8649799613705069,0.04344054750695598
sao_paulo,roll,all,2,2202,-2.6027995940263464,-1.6898831837383428,-0.6576699006333135
sao_paulo,roll,all,3,998,-3.464495099808248,-2.507956291041915,-1.3547617345916592
sao_paulo,roll,all,4,526,-4.34172112564891,-3.4946034693396437,-2.224284717347213
sao_paulo,roll,all,5,262,-5.337284713190953,-4.528241719878903,-3.290736009778018
sao_paulo,roll,all,6,130,-6.594048874920281,-5.516491588828913,-3.6114259829333175
sao_paulo,roll,all,7,58,-7.820350176098773,-6.968107996540376,-5.168025261381198
sao_paulo,roll,all,8,25,-8.733230166191861,-6.716310715207785,-4.488901944048602
sao_paulo,roll,well_determined,-8,15,7.55580591576381,8.397621892724356,9.050299702685608
sao_paulo,roll,well_determined,-7,11,2.88448905989968,6.630950231479634,8.712649319575814
sao_paulo,roll,well_determined,-6,18,4.235822819923137,6.1882785474419,7.812661656399683
sao_paulo,roll,well_determined,-5,73,3.35733995634103,4.821500891441847,6.147343102329238
sao_paulo,roll,well_determined,-4,145,2.989038084051485,3.8889899293379355,4.466506875035456
sao_paulo,roll,well_determined,-3,274,1.9767191479379804,2.802555704883737,3.48301765817175
sao_paulo,roll,well_determined,-2,637,0.8831998861986143,1.7292060511032494,2.4225218395309325
sao_paulo,roll,well_determined,-1,1417,0.11897524619540836,0.8096604250825554,1.3820006752831333
sao_paulo,roll,well_determined,0,2163,-0.6922716978100337,-0.016073310662876962,0.5914560951562731
sao_paulo,roll,well_determined,1,1897,-1.4475115994520409,-0.8325176829158174,-0.16226828636029092
sao_paulo,roll,well_determined,2,1028,-2.3261511151858794,-1.6710765847274545,-0.8275084340496609
sao_paulo,roll,well_determined,3,433,-3.116041269594464,-2.458776642294485,-1.6025774703492863
sao_paulo,roll,well_determined,4,275,-4.318264994774405,-3.5394339289711056,-2.6117169191088356
sao_paulo,roll,well_determined,5,132,-5.265291098538308,-4.507237963546892,-3.5635847548046464
sao_paulo,roll,well_determined,6,71,-6.437676207417284,-5.625608401769438,-4.580554079193076
sao_paulo,roll,well_determined,7,39,-7.79396724596568,-6.975975283531236,-6.640243898373247
sao_paulo,roll,well_determined,8,9,-8.368246800400291,-6.716310715207785,-4.488901944048602
