city,results,group,h_true,noise_scale,offset_px,seed,a_panos,a_sites,h_star_a,a_slope,b_views_2p6,b_2p6,b_2p6_null_sd_m,b_2p6_offset,h_star_b,b_slope,h_star_b_lo,h_star_b_hi,gap_raw,gap_fixed,a_err,b_2p6_err,b_fixed_err,b_at_1.4,b_at_1.6,b_at_1.8,b_at_2,b_at_2.3,b_at_2.6,b_at_3,implied_at_1.4,implied_at_1.6,implied_at_1.8,implied_at_2,implied_at_2.3,implied_at_2.6,implied_at_3,n_dets_in,n_dets_out,n_no_site,n_unprojectable,n_on_rig
richmond,results.jsonl,gopro/max,2.4,1.0,0.0,1,688,531,2.4046,0.6453,1213,2.5352,0.027,2.751,2.3032,0.7827,2.2264,2.3955,0.1306,-0.1014,0.0046,0.1352,-0.0968,1.5544,1.7657,1.9209,2.0795,2.3316,2.5352,2.8218,1.7593,1.8888,2.0066,2.1129,2.3698,2.5499,2.7691,9526,8096,1430,0,18
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,0,597,395,1.6867,0.2985,923,2.2426,0.0338,2.5097,1.8631,0.5469,1.8355,1.8903,0.5559,0.1765,-0.3133,0.2426,-0.1369,1.5814,1.7546,1.8565,1.9283,2.0758,2.2426,2.5095,1.6155,1.6785,1.7239,1.7694,1.8377,1.9127,2.1327,9526,8096,1430,0,12
richmond,results.jsonl,gopro/max,2.0,0.5,-4.0,1,590,420,1.6735,0.3381,962,2.2365,0.0289,2.4884,1.8645,0.548,1.8377,1.8915,0.5631,0.1911,-0.3265,0.2365,-0.1355,1.5861,1.7284,1.8603,1.9387,2.1043,2.2365,2.5006,1.5995,1.6584,1.7208,1.7607,1.8634,1.9611,2.1597,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,0,640,440,1.8377,0.2431,1036,2.3075,0.047,2.5115,1.9578,0.5457,1.9293,1.9858,0.4698,0.1202,-0.1623,0.3075,-0.0422,1.6061,1.7646,1.902,2.0259,2.1326,2.3075,2.509,1.7086,1.7825,1.8574,1.881,1.95,2.0082,2.1223,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.0,0.5,-2.0,1,635,447,1.8133,0.2934,1087,2.3033,0.0181,2.4912,1.9284,0.5603,1.8982,1.958,0.49,0.1151,-0.1867,0.3033,-0.0716,1.5837,1.7348,1.8909,2.0134,2.1448,2.3033,2.5012,1.694,1.7546,1.8111,1.8817,1.9356,2.0194,2.1855,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.5,-1.0,0,661,459,1.8953,0.2361,1123,2.3116,0.0499,2.491,1.9917,0.5641,1.9607,2.0221,0.4163,0.0964,-0.1047,0.3116,-0.0083,1.5968,1.7738,1.9175,2.0463,2.1831,2.3116,2.5405,1.7521,1.8326,1.8855,1.9458,1.9767,2.0645,2.1483,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.0,0.5,-1.0,1,659,469,1.875,0.2799,1146,2.3221,0.0274,2.4967,1.986,0.5703,1.9545,2.0163,0.4471,0.1109,-0.125,0.3221,-0.014,1.5844,1.779,1.9098,2.0397,2.1841,2.3221,2.5379,1.7234,1.8101,1.8613,1.9259,1.981,2.072,2.1925,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.5,1.0,0,691,481,2.0236,0.253,1211,2.383,0.0273,2.4967,2.063,0.5814,2.0297,2.0944,0.3594,0.0393,0.0236,0.383,0.063,1.5931,1.7747,1.9496,2.1094,2.2411,2.383,2.5405,1.8231,1.9105,1.9859,2.0588,2.1186,2.1584,2.2454,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.0,0.5,1.0,1,684,498,2.0073,0.2766,1235,2.4035,0.024,2.551,2.0918,0.6162,2.0546,2.1283,0.3962,0.0845,0.0073,0.4035,0.0918,1.5914,1.7831,1.9529,2.0774,2.2712,2.4035,2.5984,1.7994,1.8942,1.9812,2.0203,2.1069,2.1684,2.2602,9526,8096,1430,0,13
richmond,results.jsonl,gopro/max,2.0,0.5,2.0,0,705,487,2.0919,0.2686,1260,2.4232,0.0344,2.4969,2.1227,0.6065,2.0865,2.1578,0.3313,0.0308,0.0919,0.4232,0.1227,1.5906,1.7942,1.9676,2.1199,2.2892,2.4232,2.5778,1.8757,1.9554,2.0229,2.0963,2.1737,2.2192,2.3154,9526,8096,1430,0,15
richmond,results.jsonl,gopro/max,2.0,0.5,2.0,1,696,500,2.0677,0.2829,1278,2.4488,0.0318,2.5426,2.1505,0.6296,2.1112,2.1889,0.3811,0.0828,0.0677,0.4488,0.1505,1.6013,1.7905,1.96,2.1044,2.317,2.4488,2.609,1.8461,1.9339,2.0014,2.0803,2.1491,2.2194,2.3079,9526,8096,1430,0,14
richmond,results.jsonl,gopro/max,2.0,0.5,4.0,0,718,503,2.2202,0.2946,1301,2.5173,0.041,2.564,2.2765,0.6529,2.2352,2.3196,0.2971,0.0564,0.2202,0.5173,0.2765,1.613,1.8338,2.0003,2.142,2.3602,2.5173,2.6624,1.9319,2.0281,2.1178,2.1818,2.29,2.3396,2.4041,9526,8096,1430,0,15
richmond,results.jsonl,gopro/max,2.0,0.5,4.0,1,716,505,2.2116,0.3265,1342,2.5212,0.0238,2.5453,2.27,0.6728,2.2246,2.318,0.3095,0.0583,0.2116,0.5212,0.27,1.5954,1.8151,1.9922,2.1423,2.343,2.5212,2.6802,1.8865,2.0225,2.1011,2.1861,2.2545,2.3368,2.4388,9526,8096,1430,0,15
