city,tier,frame,arm,radius_m,vintage,n,median_along_m,q25_along_m,q75_along_m,median_along_over_range,median_range_m
gainesville,0.3000,frozen@b,b,5.0000,2015,8,-0.8255,-1.6762,-0.4848,-0.0987,11.9908
gainesville,0.3000,frozen@b,b,5.0000,2017,1,1.2732,1.2732,1.2732,0.0850,14.9842
gainesville,0.3000,frozen@b,b,5.0000,2018,22,-0.4960,-1.1283,-0.0967,-0.0474,10.4741
gainesville,0.3000,frozen@b,b,5.0000,2019,6,1.7944,1.2047,3.3702,0.1546,7.7943
gainesville,0.3000,frozen@b,b,5.0000,2021,2,-0.7201,-0.7201,-0.0310,-0.0955,7.5422
gainesville,0.3000,frozen@b,b,5.0000,2022,19,0.5089,-0.2953,1.2975,0.0581,12.6178
gainesville,0.3000,frozen@b,b,5.0000,2023,29,0.5253,-0.0895,1.5001,0.0408,12.2306
gainesville,0.3000,frozen@b,b,5.0000,2024,55,-0.0798,-0.4360,0.5903,-0.0049,11.9200
gainesville,0.3000,frozen@b,b,5.0000,2025,22,-0.6023,-1.3420,-0.0551,-0.0607,9.8952
gainesville,0.3000,frozen@b,b,5.0000,2026,1277,-0.4032,-1.4332,0.3534,-0.0378,10.9982
gainesville,0.3000,frozen@b,b,5.0000,mixed,1015,-0.1942,-0.8469,0.3699,-0.0150,12.6897
gainesville,0.3000,frozen@b,c,5.0000,2007,1,2.1713,2.1713,2.1713,0.2810,7.7265
gainesville,0.3000,frozen@b,c,5.0000,2011,8,-2.4623,-2.9313,-1.0438,-0.1690,11.4224
gainesville,0.3000,frozen@b,c,5.0000,2014,4,-0.0988,-1.0346,-0.0988,-0.0091,10.8811
gainesville,0.3000,frozen@b,c,5.0000,2015,8,-1.7895,-3.0153,-1.6723,-0.2805,9.2237
gainesville,0.3000,frozen@b,c,5.0000,2017,1,1.0878,1.0878,1.0878,0.0755,14.4079
gainesville,0.3000,frozen@b,c,5.0000,2018,22,-2.1292,-2.6849,-1.2599,-0.2617,8.0570
gainesville,0.3000,frozen@b,c,5.0000,2019,6,1.2271,0.9648,2.7939,0.1287,7.4945
gainesville,0.3000,frozen@b,c,5.0000,2021,2,-0.5358,-0.5358,-0.1253,-0.0693,7.7265
gainesville,0.3000,frozen@b,c,5.0000,2022,19,0.5834,-0.2670,1.2970,0.0538,12.6942
gainesville,0.3000,frozen@b,c,5.0000,2023,29,0.3007,-0.3795,1.3510,0.0308,12.3638
gainesville,0.3000,frozen@b,c,5.0000,2024,55,-0.1050,-0.7095,0.4336,-0.0059,11.4615
gainesville,0.3000,frozen@b,c,5.0000,2025,22,-0.5626,-1.4050,-0.0725,-0.0512,10.9877
gainesville,0.3000,frozen@b,c,5.0000,2026,1277,-0.3555,-1.1869,0.3552,-0.0320,11.4711
gainesville,0.3000,frozen@b,c,5.0000,mixed,1015,-0.2652,-0.8558,0.3333,-0.0218,12.5293
gainesville,0.3000,frozen@b,b1.00,5.0000,2007,1,1.1627,1.1627,1.1627,0.1731,6.7180
gainesville,0.3000,frozen@b,b1.00,5.0000,2011,8,-2.0634,-2.6885,-0.9463,-0.1362,11.8793
gainesville,0.3000,frozen@b,b1.00,5.0000,2014,4,-0.5796,-1.2235,-0.5796,-0.1021,10.2452
gainesville,0.3000,frozen@b,b1.00,5.0000,2015,8,-0.9746,-1.6822,-0.7557,-0.1102,11.9880
